match_id,game_duration,queue,game_mode,surrendered,team_100_wins,gold_diff_1,gold_diff_2,gold_diff_3,gold_diff_4,gold_diff_5,gold_diff_6,gold_diff_7,gold_diff_8,gold_diff_9,gold_diff_10,gold_diff_11,gold_diff_12,gold_diff_13,gold_diff_14,gold_diff_15,first_blood,first_tower,first_dragon,first_herald,towers_taken,dragons_taken,heralds_taken,barons_taken,inhibitors_taken,objectives_count,gold_lead_early,gold_lead_mid,gold_lead_late,objective_advantage
",NA1_5305370839",1648,",420",",CLASSIC",0,0,0,-104,-153,-935,-794,-191,-553,-2363,-1737,-2250,-3071,-1323,-1662,-1667,-3161,0,0,-1,0,0,-1,0,0,0,3,-794,-1456,-911,-3
",NA1_5305416184",1672,",420",",CLASSIC",0,1,0,565,940,815,449,-74,676,492,311,-77,2077,2139,2407,3629,3347,0,0,-1,0,0,-1,0,0,0,3,449,-526,3424,-3
",NA1_5305442460",1555,",420",",CLASSIC",0,1,0,-23,431,245,420,28,-64,-156,-76,917,1527,293,200,-369,547,0,0,-1,0,0,-1,0,0,0,2,420,497,-370,-3
",NA1_5305453762",1409,",420",",CLASSIC",0,1,3,12,263,-334,661,516,1136,1071,961,1167,1600,2209,2643,2833,2025,0,0,-1,0,0,-1,0,0,0,3,661,506,858,-3
",NA1_5305492909",1661,",420",",CLASSIC",0,0,0,-69,-719,-878,-694,-791,-286,402,821,213,-136,-778,-1138,-352,-243,0,0,-1,0,0,-3,0,0,0,7,-694,907,-456,-9
",NA1_5305495790",1679,",420",",CLASSIC",0,0,0,-102,19,606,-142,-40,233,39,58,-38,-364,-1639,-1829,-1580,-1639,0,0,-1,0,0,-3,0,0,0,8,-142,104,-1601,-9
",NA1_5305516081",1221,",420",",CLASSIC",0,1,0,15,-719,-583,-794,-521,-1120,-230,352,-163,675,1168,1462,2452,3111,0,0,-1,0,0,-1,0,0,0,5,-794,631,3274,-3
",NA1_5305527762",1818,",420",",CLASSIC",0,1,0,-131,-124,539,806,679,305,133,-552,-246,-760,-353,221,-133,-702,0,0,-1,0,0,-1,0,0,0,2,806,-1052,-456,-3
",NA1_5305542174",1612,",420",",CLASSIC",0,1,405,431,592,1129,1786,2418,1740,2786,2116,2965,3732,5077,5053,5979,4907,0,0,-1,0,0,-3,0,0,0,7,1786,1179,1942,-9
",NA1_5305562236",1917,",420",",CLASSIC",0,0,0,-446,-506,-805,-744,-532,-621,-604,408,-313,1252,1655,1773,3124,4140,0,0,-1,0,0,-1,0,0,0,4,-744,431,4453,-3
